chromosome	start	end	strand	gene_id	gene_symbol	numSnps	pvalue	Status
chr10	71909960	71930285	-	56681	SAR1A	229	5.18051195E-1	DAVIES_SUCCESS
chr10	71962585	71993190	-	5464	PPA1	282	5.5677529E-1	DAVIES_SUCCESS
chr10	72014712	72043450	-	64106	NPFFR1	378	7.01856958E-1	DAVIES_SUCCESS
chr10	72058725	72142406	-	55222	LRRC20	491	9.11195137E-1	DAVIES_SUCCESS
chr10	72163860	72188374	+	1979	EIF4EBP2	241	7.63699282E-1	DAVIES_SUCCESS
chr10	72191691	72201465	-	4838	NODAL	191	6.55862538E-1	DAVIES_SUCCESS
chr10	72238563	72328206	+	27143	PALD1	519	7.70019011E-1	DAVIES_SUCCESS
chr10	72357103	72362531	-	5551	PRF1	385	9.57963566E-1	DAVIES_SUCCESS
chr10	72432558	72522195	+	140766	ADAMTS14	797	3.12222417E-1	DAVIES_SUCCESS
chr10	72530994	72545157	-	219793	TBATA	439	1.44800125E-1	DAVIES_SUCCESS
chr10	72575703	72640932	+	8879	SGPL1	451	3.01379342E-1	DAVIES_SUCCESS
chr10	72643266	72648541	-	5092	PCBD1	253	2.62658142E-1	DAVIES_SUCCESS
chr10	72972291	73062635	+	219699	UNC5B	473	6.77418384E-1	DAVIES_SUCCESS
chr10	72976980	72977985	-	728978	UNC5B-AS1	177	7.76243491E-1	DAVIES_SUCCESS
chr10	73079009	73123147	+	55315	SLC29A3	423	6.25919977E-1	DAVIES_SUCCESS
chr10	73156690	73575704	+	64072	CDH23	1289	8.99986753E-1	DAVIES_SUCCESS
chr10	73471457	73497581	-	414152	C10orf105	317	9.64289116E-1	DAVIES_SUCCESS
chr10	73507313	73533337	-	64115	C10orf54	270	9.15055211E-1	DAVIES_SUCCESS
chr10	73576054	73611082	-	5660	PSAP	415	6.62762425E-1	DAVIES_SUCCESS
chr10	73621146	73995618	+	119504	ANAPC16	905	8.68876613E-1	DAVIES_SUCCESS
chr10	73724119	73773322	+	9469	CHST3	388	9.61261315E-1	DAVIES_SUCCESS
chr10	73818791	73848790	-	9806	SPOCK2	254	7.10196586E-1	DAVIES_SUCCESS
chr10	73855789	73976892	-	51008	ASCC1	206	6.2168943E-1	DAVIES_SUCCESS
chr10	74033676	74035797	+	54541	DDIT4	100	9.45175322E-1	DAVIES_SUCCESS
chr10	74092587	74114907	-	54788	DNAJB12	115	9.18160537E-1	DAVIES_SUCCESS
chr10	74119697	74336541	-	100302155	MIR1256	340	7.00201485E-1	DAVIES_SUCCESS
chr10	74127083	74385949	-	10367	MICU1	382	6.76013E-1	DAVIES_SUCCESS
chr10	74451888	74647452	+	90550	MCU	165	3.86822425E-1	DAVIES_SUCCESS
chr10	74480786	74480858	+	100616286	MIR4676	45	5.19257933E-1	DAVIES_SUCCESS
chr10	74653338	74692787	+	170392	OIT3	85	2.30929766E-1	DAVIES_SUCCESS
chr10	74694937	74714510	-	84647	PLA2G12B	94	3.59552884E-1	DAVIES_SUCCESS
chr10	74766979	74856732	-	5033	P4HA1	312	5.70095446E-1	DAVIES_SUCCESS
chr10	74870209	74891581	+	25961	NUDT13	265	4.63851136E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr10	74894281	74927853	-	11319	ECD	273	4.56210548E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr10	74927876	75001939	+	317662	FAM149B1	372	1E0	DAVIES_FAIL_FAREBROTHER_FAIL
chr10	75002581	75008620	-	23234	DNAJC9	227	4.56574273E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr10	75006445	75012451	-	51021	MRPS16	241	4.55881996E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr10	75007124	75036742	+	414245	DNAJC9-AS1	309	4.57926752E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr10	75013515	75118617	-	118491	TTC18	433	1E0	DAVIES_FAIL_FAREBROTHER_FAIL
chr10	75135188	75173841	-	310	ANXA7	157	3.95219532E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr10	75180394	75193319	-	118490	MSS51	95	3.49180056E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr10	75196562	75255782	-	5532	PPP3CB	112	3.33722231E-1	DAVIES_FAIL_FAREBROTHER_SUCCESS
chr10	75257295	75351298	-	159195	USP54	80	2.85704069E-1	DAVIES_SUCCESS
chr10	75391369	75401515	-	58529	MYOZ1	68	1.77382423E-1	DAVIES_SUCCESS
chr10	75404643	75415832	-	79933	SYNPO2L	72	1.4665838E-1	DAVIES_SUCCESS
chr10	75434032	75490272	-	729092	AGAP5	150	8.63590619E-2	DAVIES_SUCCESS
chr10	75458908	75490272	-	729096	BMS1P4	128	8.13530531E-2	DAVIES_SUCCESS
chr10	75491298	75495367	+	2749	GLUD1P3	105	7.62540346E-2	DAVIES_SUCCESS
chr10	75504130	75531933	+	9632	SEC24C	130	8.5700364E-2	DAVIES_SUCCESS
chr10	75532048	75535976	+	170384	FUT11	108	9.8911492E-2	DAVIES_SUCCESS
chr10	75541807	75543406	+	118487	CHCHD1	97	1.16530833E-1	DAVIES_SUCCESS
chr10	75545381	75561556	+	23053	ZSWIM8	121	8.9799153E-2	DAVIES_SUCCESS
chr10	75561668	75571589	-	8509	NDST2	108	8.44842262E-2	DAVIES_SUCCESS
chr10	75572258	75634349	-	818	CAMK2G	188	6.89778809E-2	DAVIES_SUCCESS
chr10	75669726	75682535	-	414236	C10orf55	134	7.02142971E-2	DAVIES_SUCCESS
chr10	75670861	75677258	+	5328	PLAU	129	7.15289694E-2	DAVIES_SUCCESS
chr10	75754950	75879914	+	7414	VCL	252	2.90520132E-1	DAVIES_SUCCESS
chr10	75880014	75910826	-	26985	AP3M1	185	2.95954434E-1	DAVIES_SUCCESS
chr10	75910942	76469061	+	132	ADK	794	5.01462053E-2	DAVIES_SUCCESS
chr10	76586170	76792380	+	23522	KAT6B	314	5.99542946E-1	DAVIES_SUCCESS
chr10	76797593	76818272	-	338599	DUPD1	183	3.84961936E-1	DAVIES_SUCCESS
chr10	76854189	76868970	-	51207	DUSP13	250	4.72466399E-1	DAVIES_SUCCESS
chr10	76871392	76941881	+	142891	SAMD8	348	5.08997806E-1	DAVIES_SUCCESS
chr10	76969911	76991207	+	7417	VDAC2	215	5.3885503E-1	DAVIES_SUCCESS
chr10	76993728	76995770	-	118881	COMTD1	175	4.99684935E-1	DAVIES_SUCCESS
chr10	77056140	77121436	+	253264	ZNF503-AS1	226	4.4481444E-1	DAVIES_SUCCESS
chr10	77157602	77161513	-	84858	ZNF503	61	5.00946734E-1	DAVIES_SUCCESS
chr10	77161285	77168740	+	100131213	ZNF503-AS2	73	6.93114816E-1	DAVIES_SUCCESS
chr10	77542518	78317126	+	83938	C10orf11	1402	5.7193482E-2	DAVIES_SUCCESS
chr10	78629358	79397577	-	3778	KCNMA1	1819	5.79431877E-3	DAVIES_SUCCESS
chr10	79550548	79686348	-	9231	DLG5	506	3.22065759E-1	DAVIES_SUCCESS
chr10	79686569	79689583	+	100128292	DLG5-AS1	194	4.50763036E-1	DAVIES_SUCCESS
chr10	79734906	79789298	-	11128	POLR3A	140	1.10831203E-1	DAVIES_SUCCESS
chr10	79793517	79816571	+	6229	RPS24	58	1.28803215E-2	DAVIES_SUCCESS
chr10	80008381	80311112	+	100132987	LINC00856	924	9.83096773E-1	DAVIES_SUCCESS
chr10	80027084	80159502	+	414243	LINC00595	540	9.25381707E-1	DAVIES_SUCCESS
chr10	80703082	80828536	-	283050	ZMIZ1-AS1	505	8.57942603E-2	DAVIES_SUCCESS
chr10	80828791	81076285	+	57178	ZMIZ1	836	7.87585723E-2	DAVIES_SUCCESS
chr10	81107219	81115089	+	10105	PPIF	208	9.06026272E-1	DAVIES_SUCCESS
chr10	81142082	81205383	-	219654	ZCCHC24	406	9.57670446E-1	DAVIES_SUCCESS
chr10	81272356	81276192	+	143244	EIF5AL1	303	9.54990712E-1	DAVIES_SUCCESS
chr10	81315607	81320163	-	729238	SFTPA2	389	9.13134906E-1	DAVIES_SUCCESS
chr10	81370694	81375199	+	653509	SFTPA1	447	7.46947661E-1	DAVIES_SUCCESS
chr10	81442730	81448650	+	650623	BEND3P3	324	7.90838746E-1	DAVIES_SUCCESS
chr10	81585657	81587358	+	642361	LOC642361	182	9.40286054E-1	DAVIES_SUCCESS
chr10	81664653	81691574	+	100288974	LOC100288974	427	8.24271168E-1	DAVIES_SUCCESS
chr10	81679933	81682875	+	8512	MBL1P	377	8.01919486E-1	DAVIES_SUCCESS
chr10	81697495	81708861	-	6441	SFTPD	458	8.68246783E-1	DAVIES_SUCCESS
chr10	81805988	81838949	-	219347	TMEM254-AS1	604	8.23023981E-1	DAVIES_SUCCESS
chr10	81838401	81852307	+	80195	TMEM254	529	8.19737007E-1	DAVIES_SUCCESS
chr10	81892257	81904784	+	219348	PLAC9	455	9.41202839E-1	DAVIES_SUCCESS
chr10	81914879	81965433	-	311	ANXA11	519	9.76724303E-1	DAVIES_SUCCESS
chr10	81967465	81979413	+	439990	LINC00857	355	9.98954533E-1	DAVIES_SUCCESS
chr10	82031575	82049434	-	4143	MAT1A	325	9.99243512E-1	DAVIES_SUCCESS
chr10	82095860	82116514	-	143241	DYDC1	337	9.78462627E-1	DAVIES_SUCCESS
chr10	82104500	82127829	+	84332	DYDC2	346	9.73896944E-1	DAVIES_SUCCESS
chr10	82167584	82192753	+	84293	FAM213A	400	9.87465531E-1	DAVIES_SUCCESS
chr10	82214037	82282391	+	81619	TSPAN14	352	9.83393447E-1	DAVIES_SUCCESS
chr10	82297657	82406316	+	387694	SH2D4B	482	9.80376627E-1	DAVIES_SUCCESS
chr10	83635069	84746935	+	10718	NRG3	2391	3.64754752E-2	DAVIES_SUCCESS
chr10	85899184	85913311	+	27069	GHITM	273	5.86735874E-1	DAVIES_SUCCESS
chr10	85933553	85945050	+	387695	C10orf99	265	4.8351815E-1	DAVIES_SUCCESS
chr10	85954411	85979376	+	92211	CDHR1	304	1.49804928E-1	DAVIES_SUCCESS
chr10	85980248	85985284	-	340745	LRIT2	282	1.31764421E-1	DAVIES_SUCCESS
chr10	85991275	86001217	-	26103	LRIT1	284	1.3022187E-1	DAVIES_SUCCESS
chr10	86004808	86018944	+	5995	RGR	297	1.0541465E-1	DAVIES_SUCCESS
chr10	86039735	86054415	+	170425	LINC00858	294	5.49705996E-2	DAVIES_SUCCESS
chr10	86088409	86278276	+	54462	CCSER2	738	3.52800896E-1	DAVIES_SUCCESS
chr10	87337487	87366972	+	100507470	GRID1-AS1	245	1.64580968E-1	DAVIES_SUCCESS
chr10	87359311	88126250	-	2894	GRID1	1708	2.24127528E-1	DAVIES_SUCCESS
chr10	88024450	88024545	-	442911	MIR346	238	1.23818013E-1	DAVIES_SUCCESS
chr10	88195012	88281541	-	23063	WAPAL	323	1.63926847E-1	DAVIES_SUCCESS
chr10	88414313	88426605	+	94233	OPN4	306	2.79029114E-1	DAVIES_SUCCESS
chr10	88426550	88495824	+	11155	LDB3	437	4.68194651E-1	DAVIES_SUCCESS
chr10	88516395	88684945	+	657	BMPR1A	532	2.58243544E-1	DAVIES_SUCCESS
chr10	88695297	88717425	-	79812	MMRN2	247	1.14620885E-2	DAVIES_SUCCESS
chr10	88718287	88723017	+	6623	SNCG	228	5.89310601E-3	DAVIES_SUCCESS
chr10	88728187	88730666	+	10974	ADIRF	239	4.32911839E-3	DAVIES_SUCCESS
chr10	88730497	88784487	+	119385	AGAP11	333	5.53471801E-3	DAVIES_SUCCESS
chr10	88780045	88784487	+	643161	FAM25A	222	5.42856132E-3	DAVIES_SUCCESS
chr10	88809958	88854776	-	2746	GLUD1	269	3.22702355E-2	DAVIES_SUCCESS
chr10	88854952	88951222	+	54537	FAM35A	332	1.58709623E-1	DAVIES_SUCCESS
chr10	88965544	89102315	-	728190	NUTM2A-AS1	234	4.79725162E-1	DAVIES_SUCCESS
chr10	88985204	88994733	+	728118	NUTM2A	116	2.8493705E-1	DAVIES_SUCCESS
chr10	89102167	89103331	+	439994	LOC439994	94	9.52233239E-1	DAVIES_SUCCESS
chr10	89117476	89130452	+	728130	NUTM2D	148	9.97872008E-1	DAVIES_SUCCESS
chr10	89156330	89167457	-	728218	LINC00864	114	9.99780095E-1	DAVIES_SUCCESS
chr10	89263637	89263711	+	100616296	MIR4678	80	7.60496205E-1	DAVIES_SUCCESS
chr10	89264222	89313218	+	9562	MINPP1	162	5.00687003E-1	DAVIES_SUCCESS
chr10	89419475	89507462	+	9060	PAPSS2	426	1.68794059E-1	DAVIES_SUCCESS
chr10	89512874	89577917	-	84896	ATAD1	285	6.26027465E-1	DAVIES_SUCCESS
chr10	89578069	89605369	+	142913	CFL1P1	155	7.31532363E-1	DAVIES_SUCCESS
chr10	89618917	89623194	-	100144748	KLLN	119	5.93479401E-1	DAVIES_SUCCESS
chr10	89623194	89728532	+	5728	PTEN	255	2.79630573E-1	DAVIES_SUCCESS
chr10	89892056	90343082	-	55328	RNLS	929	1.74253594E-1	DAVIES_SUCCESS
chr10	90346518	90366733	+	142910	LIPJ	126	6.8534161E-2	DAVIES_SUCCESS
chr10	90424145	90438572	+	8513	LIPF	235	3.25419563E-1	DAVIES_SUCCESS
chr10	90484300	90512513	+	643414	LIPK	409	5.75822978E-1	DAVIES_SUCCESS
chr10	90521162	90537999	+	643418	LIPN	365	6.35381967E-1	DAVIES_SUCCESS
chr10	90562486	90580303	+	340654	LIPM	257	5.04667991E-1	DAVIES_SUCCESS
chr10	90579658	90611732	-	118932	ANKRD22	226	4.40981144E-1	DAVIES_SUCCESS
chr10	90639943	90734910	+	57559	STAMBPL1	392	7.25368902E-1	DAVIES_SUCCESS
chr10	90694830	90751147	-	59	ACTA2	364	7.2043414E-1	DAVIES_SUCCESS
chr10	90729552	90775542	+	355	FAS	382	7.29485914E-1	DAVIES_SUCCESS
chr10	90751180	90752732	-	100302740	FAS-AS1	280	5.70860635E-1	DAVIES_SUCCESS
chr10	90823091	90823168	-	100616192	MIR4679-2	312	9.22842453E-1	DAVIES_SUCCESS
chr10	90823092	90823167	+	100616128	MIR4679-1	312	9.22842453E-1	DAVIES_SUCCESS
chr10	90965693	90967071	-	9023	CH25H	207	9.86247965E-1	DAVIES_SUCCESS
chr10	90973325	91174382	-	3988	LIPA	522	9.96812144E-1	DAVIES_SUCCESS
chr10	91061705	91069033	+	3433	IFIT2	162	9.38198571E-1	DAVIES_SUCCESS
chr10	91087601	91100725	+	3437	IFIT3	158	8.02641733E-1	DAVIES_SUCCESS
chr10	91137812	91144962	+	439996	IFIT1B	162	7.63911478E-1	DAVIES_SUCCESS
chr10	91152302	91166244	+	3434	IFIT1	168	8.85237718E-1	DAVIES_SUCCESS
chr10	91174324	91180759	+	24138	IFIT5	174	9.46472457E-1	DAVIES_SUCCESS
chr10	91190050	91295313	-	387700	SLC16A12	352	6.82575366E-1	DAVIES_SUCCESS
chr10	91339253	91405329	-	53354	PANK1	429	3.06088439E-2	DAVIES_SUCCESS
chr10	91352503	91352584	-	406901	MIR107	290	9.68062435E-2	DAVIES_SUCCESS
chr10	91451056	91457685	-	283011	FLJ37201	291	4.73234693E-2	DAVIES_SUCCESS
chr10	91461366	91534700	+	9585	KIF20B	486	6.35546132E-2	DAVIES_SUCCESS
chr10	91589249	91600618	+	643529	LINC00865	376	1.58970751E-1	DAVIES_SUCCESS
chr10	92500575	92617671	-	3363	HTR7	486	4.07021995E-1	DAVIES_SUCCESS
chr10	92631274	92668312	+	10556	RPP30	345	7.87109416E-2	DAVIES_SUCCESS
chr10	92671856	92681032	-	27063	ANKRD1	327	1.18533356E-1	DAVIES_SUCCESS
chr10	92805564	92821916	+	100874184	LINC00502	339	3.47812413E-1	DAVIES_SUCCESS
chr10	92911760	92912837	-	119369	NUDT9P1	213	5.53658809E-1	DAVIES_SUCCESS
chr10	92922768	93044088	+	84333	PCGF5	397	5.68300522E-1	DAVIES_SUCCESS
chr10	93066718	93371217	-	100188947	LOC100188947	607	2.10023777E-1	DAVIES_SUCCESS
chr10	93170095	93274520	+	143279	HECTD2	159	5.76486945E-2	DAVIES_SUCCESS
chr10	93388196	93392858	-	5507	PPP1R3C	351	5.13649442E-1	DAVIES_SUCCESS
chr10	93558150	93625232	+	80351	TNKS2	371	5.36022828E-1	DAVIES_SUCCESS
chr10	93666344	93669258	-	143282	FGFBP3	217	4.72738751E-1	DAVIES_SUCCESS
chr10	93683735	93790080	+	9044	BTAF1	369	4.11891931E-1	DAVIES_SUCCESS
chr10	93808396	94050875	-	22849	CPEB3	399	5.19758247E-1	DAVIES_SUCCESS
chr10	94050919	94113721	+	54708	MARCH5	254	1.99665735E-1	DAVIES_SUCCESS
chr10	94178417	94179363	+	100507674	MARK2P9	195	7.60390656E-2	DAVIES_SUCCESS
chr10	94211440	94333852	-	3416	IDE	343	6.6977854E-1	DAVIES_SUCCESS
chr10	94352824	94415152	+	3832	KIF11	255	7.79998136E-1	DAVIES_SUCCESS
chr10	94449680	94455408	+	3087	HHEX	144	5.43551888E-1	DAVIES_SUCCESS
chr10	94590934	94819251	+	54536	EXOC6	503	1.25153339E-1	DAVIES_SUCCESS
chr10	94821020	94828454	+	340665	CYP26C1	202	5.80454966E-1	DAVIES_SUCCESS
chr10	94833231	94837641	+	1592	CYP26A1	196	6.13154897E-1	DAVIES_SUCCESS
chr10	95066185	95242074	-	26509	MYOF	1034	4.84041453E-1	DAVIES_SUCCESS
chr10	95256368	95288849	+	55165	CEP55	416	2.0738558E-1	DAVIES_SUCCESS
chr10	95326421	95349829	+	338557	FFAR4	293	5.34674574E-1	DAVIES_SUCCESS
chr10	95351592	95360993	-	5950	RBP4	277	8.05584313E-1	DAVIES_SUCCESS
chr10	95372344	95425429	+	5146	PDE6C	408	5.24815041E-1	DAVIES_SUCCESS
chr10	95427639	95462913	-	118924	FRA10AC1	377	3.87110693E-1	DAVIES_SUCCESS
chr10	95517565	95557916	+	9211	LGI1	377	7.5176512E-1	DAVIES_SUCCESS
chr10	95653729	95714008	+	159371	SLC35G1	270	6.37263622E-1	DAVIES_SUCCESS
chr10	95717896	95721672	-	266971	PIPSL	158	4.4151232E-1	DAVIES_SUCCESS
chr10	95753745	96088148	+	51196	PLCE1	642	6.65075887E-1	DAVIES_SUCCESS
chr10	96039046	96046827	-	100128054	PLCE1-AS1	167	4.90921644E-1	DAVIES_SUCCESS
chr10	96092988	96122683	-	64318	NOC3L	223	3.66793335E-1	DAVIES_SUCCESS
chr10	96162185	96296089	+	23232	TBC1D12	296	6.23839487E-1	DAVIES_SUCCESS
chr10	96305542	96361856	+	3070	HELLS	210	4.91933732E-1	DAVIES_SUCCESS
chr10	96443250	96495947	+	1562	CYP2C18	319	1.52818053E-1	DAVIES_SUCCESS
chr10	96447881	96612671	+	1557	CYP2C19	607	1.88522369E-1	DAVIES_SUCCESS
chr10	96698414	96749148	+	1559	CYP2C9	510	4.91365363E-1	DAVIES_SUCCESS
chr10	96796528	96829254	-	1558	CYP2C8	455	3.50632559E-1	DAVIES_SUCCESS
chr10	96953956	96988686	+	142827	C10orf129	450	1.16776906E-1	DAVIES_SUCCESS
chr10	96997324	97050905	-	9124	PDLIM1	457	4.13954772E-2	DAVIES_SUCCESS
chr10	97071529	97321171	-	10580	SORBS1	948	9.36274541E-2	DAVIES_SUCCESS
chr10	97365685	97416567	-	5832	ALDH18A1	479	9.19275388E-1	DAVIES_SUCCESS
chr10	97423152	97453900	-	26123	TCTN3	361	9.74756064E-1	DAVIES_SUCCESS
chr10	97471535	97637023	+	953	ENTPD1	683	9.57029861E-1	DAVIES_SUCCESS
chr10	97512962	97849992	-	728558	ENTPD1-AS1	934	9.55882875E-1	DAVIES_SUCCESS
chr10	97667721	97698415	+	100127889	C10orf131	264	9.48786029E-1	DAVIES_SUCCESS
chr10	97733785	97792441	+	387707	CC2D2B	267	7.96058935E-1	DAVIES_SUCCESS
chr10	97803158	97820625	+	54619	CCNJ	192	6.4540829E-1	DAVIES_SUCCESS
chr10	97824071	97824156	-	100422892	MIR3157	140	8.14012637E-1	DAVIES_SUCCESS
chr10	97889471	97923517	+	9849	ZNF518A	238	6.86586155E-1	DAVIES_SUCCESS
chr10	97951454	98031333	-	29760	BLNK	356	5.89636335E-1	DAVIES_SUCCESS
chr10	98064084	98098321	+	1791	DNTT	230	3.97207095E-1	DAVIES_SUCCESS
chr10	98102974	98119092	-	93377	OPALIN	253	5.22418311E-1	DAVIES_SUCCESS
chr10	98124362	98273683	-	7093	TLL2	556	9.25270493E-1	DAVIES_SUCCESS
chr10	98277866	98346809	-	56889	TM9SF3	412	9.25848276E-1	DAVIES_SUCCESS
chr10	98353068	98480279	-	118788	PIK3AP1	431	8.48210741E-1	DAVIES_SUCCESS
chr10	98592016	98742626	+	84458	LCOR	272	2.06163803E-1	DAVIES_SUCCESS
chr10	98741040	98745585	+	26148	C10orf12	98	1.64790145E-1	DAVIES_SUCCESS
chr10	98757794	98945683	-	6585	SLIT1	520	7.88293735E-1	DAVIES_SUCCESS
chr10	98862512	98863504	+	100505540	LOC100505540	232	9.71640369E-1	DAVIES_SUCCESS
chr10	98912798	99052430	-	100533184	ARHGAP19-SLIT1	582	9.53057146E-1	DAVIES_SUCCESS
chr10	98981929	99052430	-	84986	ARHGAP19	385	8.56219159E-1	DAVIES_SUCCESS
chr10	99079021	99081672	+	10023	FRAT1	281	9.15154732E-1	DAVIES_SUCCESS
chr10	99092253	99094458	-	23401	FRAT2	311	9.14993841E-1	DAVIES_SUCCESS
chr10	99116457	99161127	-	23223	RRP12	390	9.39950746E-1	DAVIES_SUCCESS
chr10	99186026	99193198	+	5223	PGAM1	236	8.83854895E-1	DAVIES_SUCCESS
chr10	99195665	99205768	-	51013	EXOSC1	205	9.10029509E-1	DAVIES_SUCCESS
chr10	99205929	99217127	+	84287	ZDHHC16	181	9.13998697E-1	DAVIES_SUCCESS
chr10	99218080	99258513	-	64210	MMS19	215	9.47165193E-1	DAVIES_SUCCESS
chr10	99258767	99330960	+	80019	UBTD1	254	9.90413456E-1	DAVIES_SUCCESS
chr10	99332255	99343641	+	26287	ANKRD2	175	9.77529026E-1	DAVIES_SUCCESS
chr10	99344101	99436187	+	55361	PI4K2A	312	9.70441835E-1	DAVIES_SUCCESS
chr10	99349449	99350691	+	414157	C10orf62	150	9.69490466E-1	DAVIES_SUCCESS
chr10	99354974	99354995	+	100847017	MIR5692C2	151	9.71948246E-1	DAVIES_SUCCESS
chr10	99374309	99393913	-	118812	MORN4	200	9.73994239E-1	DAVIES_SUCCESS
chr10	99437180	99447015	-	60370	AVPI1	201	9.42512786E-1	DAVIES_SUCCESS
chr10	99473464	99477909	+	83742	MARVELD1	227	5.98771268E-1	DAVIES_SUCCESS
chr10	99496877	99520664	+	118813	ZFYVE27	228	2.73722726E-1	DAVIES_SUCCESS
chr10	99526507	99531756	-	6425	SFRP5	214	2.37624101E-1	DAVIES_SUCCESS
chr10	99609994	99631335	+	401647	GOLGA7B	203	7.28468456E-1	DAVIES_SUCCESS
chr10	99624756	99790585	-	55118	CRTAC1	381	9.29875966E-1	DAVIES_SUCCESS
chr10	99894380	100004654	+	27291	R3HCC1L	358	6.15070441E-1	DAVIES_SUCCESS
chr10	100007442	100028007	-	84171	LOXL4	222	5.10367099E-1	DAVIES_SUCCESS
chr10	100143321	100174978	-	84795	PYROXD2	429	1.66088293E-1	DAVIES_SUCCESS
chr10	100154974	100155064	-	100302133	MIR1287	324	2.41794388E-1	DAVIES_SUCCESS
chr10	100175954	100206704	-	3257	HPS1	380	2.61992995E-1	DAVIES_SUCCESS
chr10	100191048	100191117	-	100616482	MIR4685	359	2.50679571E-1	DAVIES_SUCCESS
chr10	100216833	100995632	-	60495	HPSE2	1837	2.49601078E-2	DAVIES_SUCCESS
chr10	101088855	101154087	+	26507	CNNM1	334	4.147458E-2	DAVIES_SUCCESS
chr10	101156626	101190530	-	2805	GOT1	213	3.4262457E-1	DAVIES_SUCCESS
chr10	101292689	101296280	+	159296	NKX2-3	347	9.54827243E-1	DAVIES_SUCCESS
chr10	101370274	101418994	-	81894	SLC25A28	370	6.459871E-1	DAVIES_SUCCESS
chr10	101419262	101471002	+	57089	ENTPD7	258	6.64018849E-1	DAVIES_SUCCESS
chr10	101468504	101492423	-	1355	COX15	168	4.24190379E-1	DAVIES_SUCCESS
chr10	101491957	101515894	+	51076	CUTC	181	2.2439632E-1	DAVIES_SUCCESS
chr10	101542462	101611662	+	1244	ABCC2	307	5.59410103E-2	DAVIES_SUCCESS
chr10	101635333	101769676	-	23268	DNMBP	417	7.97625911E-2	DAVIES_SUCCESS
chr10	101686965	101718755	+	100188954	DNMBP-AS1	236	1.15105055E-1	DAVIES_SUCCESS
chr10	101802064	101841642	-	1369	CPN1	217	3.33575884E-1	DAVIES_SUCCESS
chr10	101909846	101945814	-	10613	ERLIN1	183	6.46649285E-2	DAVIES_SUCCESS
chr10	101948123	101989344	-	1147	CHUK	198	1.5924791E-2	DAVIES_SUCCESS
chr10	101992054	102027437	-	55280	CWF19L1	224	1.207466E-2	DAVIES_SUCCESS
chr10	101996912	101997059	-	677800	SNORA12	154	1.30499485E-2	DAVIES_SUCCESS
chr10	102033034	102046469	-	282991	BLOC1S2	198	1.11388146E-2	DAVIES_SUCCESS
chr10	102047902	102090243	-	9033	PKD2L1	268	2.62508356E-2	DAVIES_SUCCESS
chr10	102106771	102124588	+	6319	SCD	234	7.14516727E-1	DAVIES_SUCCESS
chr10	102133332	102148116	+	90271	LINC00263	244	5.97120554E-1	DAVIES_SUCCESS
chr10	102222811	102243399	+	7479	WNT8B	217	3.32344099E-1	DAVIES_SUCCESS
chr10	102246402	102289636	-	25956	SEC31B	256	4.42680348E-1	DAVIES_SUCCESS
chr10	102283496	102289636	-	4714	NDUFB8	173	5.2301018E-1	DAVIES_SUCCESS
chr10	102295640	102313681	+	55662	HIF1AN	180	5.74888678E-1	DAVIES_SUCCESS
chr10	102505467	102589698	+	5076	PAX2	343	6.00819999E-1	DAVIES_SUCCESS
chr10	102672325	102724891	+	55719	FAM178A	257	1.10370427E-1	DAVIES_SUCCESS
chr10	102729279	102745373	+	57715	SEMA4G	174	1.43156322E-1	DAVIES_SUCCESS
chr10	102734741	102734841	+	693193	MIR608	154	1.4015955E-1	DAVIES_SUCCESS
chr10	102737578	102747272	-	84545	MRPL43	168	1.61472485E-1	DAVIES_SUCCESS
chr10	102747292	102754158	+	56652	C10orf2	158	1.72095578E-1	DAVIES_SUCCESS
chr10	102756863	102767593	+	84445	LZTS2	162	2.16350678E-1	DAVIES_SUCCESS
chr10	102767439	102790914	-	79955	PDZD7	200	3.45128202E-1	DAVIES_SUCCESS
chr10	102790995	102800998	+	81855	SFXN3	205	4.6292141E-1	DAVIES_SUCCESS
chr10	102820998	102827891	+	81621	KAZALD1	226	6.24147838E-1	DAVIES_SUCCESS
chr10	102849077	102890903	-	100038246	TLX1NB	363	7.87057263E-1	DAVIES_SUCCESS
chr10	102891060	102897546	+	3195	TLX1	321	7.65802083E-1	DAVIES_SUCCESS
chr10	102986732	102988717	-	10660	LBX1	201	9.85575792E-1	DAVIES_SUCCESS
chr10	102989350	102998616	+	399806	FLJ41350	225	9.7359942E-1	DAVIES_SUCCESS
chr10	103113789	103317078	+	8945	BTRC	549	7.65767553E-2	DAVIES_SUCCESS
chr10	103338638	103348027	-	27343	POLL	157	1.9323302E-2	DAVIES_SUCCESS
chr10	103348088	103369410	+	25911	DPCD	172	1.49633987E-2	DAVIES_SUCCESS
chr10	103361173	103361254	-	100423033	MIR3158-2	141	1.10683231E-2	DAVIES_SUCCESS
chr10	103370420	103454743	-	6468	FBXW4	193	8.09643158E-3	DAVIES_SUCCESS
chr10	103529886	103540126	-	2253	FGF8	93	6.77849832E-1	DAVIES_SUCCESS
